role,name,poli,State,twitterName,name,userNumber,followers,,,Important Comments,,
representative,Rep. Raul Ruiz,D,CA-36,@CongressmanRuiz,CongressmanRuiz,1089859058,17986,,,,,
representative,Rep. Karen Bass,D,CA-37,@RepKarenBass,RepKarenBass,239949176,86707,,,,,
representative,Rep. Linda Sanchez,D,CA-38,@RepLindaSanchez,RepLindaSanchez,312134473,30612,,,,,
representative,Rep. Edward Royce,R,CA-39,@RepEdRoyce,RepEdRoyce,246769138,29429,,,,,
representative,Rep. Lucille Roybal-Allard,D,CA-40,@RepRoybalAllard,RepRoybalAllard,479872233,22160,,,,,
representative,Rep. Mark Takano,D,CA-41,@RepMarkTakano,RepMarkTakano,1037321378,46872,,,,,
representative,Rep. Ken Calvert,R,CA-42,@KenCalvert,KenCalvert,22545491,16472,,,,,
representative,Rep. Maxine Waters,D,CA-43,@MaxineWaters,MaxineWaters,3166120541,26363,,,,,
representative,Rep. Nanette Barragan,D,CA-44,@RepBarragan,RepBarragan,8.16834E+17,8432,,,,,
representative,Rep. Mimi Walters,R,CA-45,@RepMimiWalters,RepMimiWalters,47798449,12745,,,,,
representative,Rep. Luis Correa,D,CA-46,@housedemocrats,HouseDemocrats,43963249,697315,,,,,
representative,Rep. Alan Lowenthal,D,CA-47,@RepLowenthal,RepLowenthal,1055730738,26215,,,,,
representative,Rep. Dana Rohrabacher,R,CA-48,@DanaRohrabacher,DanaRohrabacher,19139963,38324,,,,,
representative,Rep. Darrell Issa,R,CA-49,@DarrellIssa,DarrellIssa,22509548,297472,,,,,
representative,Rep. Duncan Hunter,R,CA-50,@Rep_Hunter,Rep_Hunter,1305596696,16831,,,,,
representative,Rep. Juan Vargas,D,CA-51,@RepJuanVargas,RepJuanVargas,1260172386,18516,,,,,
representative,Rep. Scott Peters,D,CA-52,@RepScottPeters,RepScottPeters,1135486501,22209,,,,,
representative,Rep. Susan Davis,D,CA-53,@RepSusanDavis,RepSusanDavis,432771620,18312,,,,,
representative,Rep. Diana DeGette,D,CO-1,@RepDianaDeGette,RepDianaDeGette,28599820,41637,,,,,
representative,Rep. Jared Polis,D,CO-2,@JaredPolis,jaredpolis,15361570,50405,,,,,
representative,Rep. Scott Tipton,R,CO-3,@RepTipton,RepTipton,242873057,20195,,,,,
representative,Rep. Ken Buck,R,CO-4,@RepKenBuck,RepKenBuck,2862577383,17901,,,,,
representative,Rep. Doug Lamborn,R,CO-5,@RepDLamborn,RepDLamborn,584012853,17357,,,,,
